id,key,value,type
,,,
103873310,b'highway',b'traffic_signals',b'regular'
,,,
103873311,b'highway',b'traffic_signals',b'regular'
,,,
103873327,b'highway',b'traffic_signals',b'regular'
,,,
103873328,b'highway',b'traffic_signals',b'regular'
,,,
103873331,b'highway',b'traffic_signals',b'regular'
,,,
103873352,b'highway',b'traffic_signals',b'regular'
,,,
103873361,b'highway',b'traffic_signals',b'regular'
,,,
103873363,b'highway',b'traffic_signals',b'regular'
,,,
103873365,b'highway',b'traffic_signals',b'regular'
,,,
103873370,b'highway',b'traffic_signals',b'regular'
,,,
103873458,b'noexit',b'yes',b'regular'
,,,
103873489,b'highway',b'traffic_signals',b'regular'
,,,
103873489,b'traffic_signals',b'signal',b'regular'
,,,
103873491,b'railway',b'level_crossing',b'regular'
,,,
103873492,b'highway',b'crossing',b'regular'
,,,
103873839,b'highway',b'traffic_signals',b'regular'
,,,
